Value__c,Product__c,Status__c,Type__c
M7SRE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7VGD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G2BC,,Allocated,Call Sign - Amateur
M7AIM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7OTK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0WRR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M7JSD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M5MPC,,Allocated,Call Sign - Amateur
M7WFT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GXS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7XYM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EPH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KLI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20IUG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20XVJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7WNJ,Amateur Foundation Radio Licence,Available,Call Sign - Amateur
M7DOS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7KBL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DOC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20OBD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7LXF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EBZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7NDD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20INM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20VDU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7FCV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7MEF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EEP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7ENB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7YBA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FFX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
