Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,GNX,M6GNX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNY,M6GNY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOC,M6GOC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOI,M6GOI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOJ,M6GOJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOP,M6GOP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOQ,M6GOQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOU,M6GOU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOX,M6GOX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GOY,M6GOY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPD,M6GPD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPI,M6GPI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPJ,M6GPJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPM,M6GPM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPN,M6GPN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPP,M6GPP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPQ,M6GPQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPV,M6GPV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GPY,M6GPY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQA,M6GQA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQC,M6GQC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQD,M6GQD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQE,M6GQE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQF,M6GQF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQG,M6GQG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQH,M6GQH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQI,M6GQI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQJ,M6GQJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQK,M6GQK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQL,M6GQL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQM,M6GQM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQN,M6GQN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQO,M6GQO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQP,M6GQP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQQ,M6GQQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQR,M6GQR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQS,M6GQS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQT,M6GQT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQU,M6GQU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQV,M6GQV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQW,M6GQW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQX,M6GQX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQY,M6GQY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GQZ,M6GQZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GRQ,M6GRQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GSC,M6GSC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GSN,M6GSN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GSQ,M6GSQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GSV,M6GSV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GSZ,M6GSZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GTK,M6GTK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GTQ,M6GTQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GTT,M6GTT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GTU,M6GTU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GUA,M6GUA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GUB,M6GUB,Call Sign,Amateur Foundation Radio Licence,Available,N
