callsign,status,licence_class,suffix
M6GOE,Available,Amateur Foundation Radio Licence,GOE
M6GOI,Available,Amateur Foundation Radio Licence,GOI
M6GOJ,Available,Amateur Foundation Radio Licence,GOJ
M6GOP,Available,Amateur Foundation Radio Licence,GOP
M6GOQ,Available,Amateur Foundation Radio Licence,GOQ
M6GOS,Available,Amateur Foundation Radio Licence,GOS
M6GOU,Available,Amateur Foundation Radio Licence,GOU
M6GOX,Available,Amateur Foundation Radio Licence,GOX
M6GOY,Available,Amateur Foundation Radio Licence,GOY
M6GPD,Available,Amateur Foundation Radio Licence,GPD
M6GPI,Available,Amateur Foundation Radio Licence,GPI
M6GPJ,Available,Amateur Foundation Radio Licence,GPJ
M6GPM,Available,Amateur Foundation Radio Licence,GPM
M6GPN,Available,Amateur Foundation Radio Licence,GPN
M6GPP,Available,Amateur Foundation Radio Licence,GPP
M6GPQ,Available,Amateur Foundation Radio Licence,GPQ
M6GPV,Available,Amateur Foundation Radio Licence,GPV
M6GPY,Available,Amateur Foundation Radio Licence,GPY
M6GQA,Available,Amateur Foundation Radio Licence,GQA
M6GQC,Available,Amateur Foundation Radio Licence,GQC
M6GQD,Available,Amateur Foundation Radio Licence,GQD
M6GQE,Available,Amateur Foundation Radio Licence,GQE
M6GQF,Available,Amateur Foundation Radio Licence,GQF
M6GQG,Available,Amateur Foundation Radio Licence,GQG
M6GQH,Available,Amateur Foundation Radio Licence,GQH
M6GQI,Available,Amateur Foundation Radio Licence,GQI
M6GQJ,Available,Amateur Foundation Radio Licence,GQJ
M6GQK,Available,Amateur Foundation Radio Licence,GQK
M6GQL,Available,Amateur Foundation Radio Licence,GQL
M6GQM,Available,Amateur Foundation Radio Licence,GQM
M6GQN,Available,Amateur Foundation Radio Licence,GQN
M6GQO,Available,Amateur Foundation Radio Licence,GQO
