callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20BAY,parsed,2#0,,BAY,2#0BAY,,Intermediate,missing-rsl
20BBA,parsed,2#0,,BBA,2#0BBA,,Intermediate,missing-rsl
20BBB,parsed,2#0,,BBB,2#0BBB,,Intermediate,missing-rsl
20BBC,parsed,2#0,,BBC,2#0BBC,,Intermediate,missing-rsl
20BBD,parsed,2#0,,BBD,2#0BBD,,Intermediate,missing-rsl
20BBG,parsed,2#0,,BBG,2#0BBG,,Intermediate,missing-rsl
20BBI,parsed,2#0,,BBI,2#0BBI,,Intermediate,missing-rsl
20BBL,parsed,2#0,,BBL,2#0BBL,,Intermediate,missing-rsl
20BBM,parsed,2#0,,BBM,2#0BBM,,Intermediate,missing-rsl
20BBN,parsed,2#0,,BBN,2#0BBN,,Intermediate,missing-rsl
20BBO,parsed,2#0,,BBO,2#0BBO,,Intermediate,missing-rsl
20BBP,parsed,2#0,,BBP,2#0BBP,,Intermediate,missing-rsl
20BBQ,parsed,2#0,,BBQ,2#0BBQ,,Intermediate,missing-rsl
20BBS,parsed,2#0,,BBS,2#0BBS,,Intermediate,missing-rsl
20BBT,parsed,2#0,,BBT,2#0BBT,,Intermediate,missing-rsl
20BBV,parsed,2#0,,BBV,2#0BBV,,Intermediate,missing-rsl
20BBX,parsed,2#0,,BBX,2#0BBX,,Intermediate,missing-rsl
20BBY,parsed,2#0,,BBY,2#0BBY,,Intermediate,missing-rsl
20BBZ,parsed,2#0,,BBZ,2#0BBZ,,Intermediate,missing-rsl
20BCA,parsed,2#0,,BCA,2#0BCA,,Intermediate,missing-rsl
20BCB,parsed,2#0,,BCB,2#0BCB,,Intermediate,missing-rsl
20BCD,parsed,2#0,,BCD,2#0BCD,,Intermediate,missing-rsl
20BCE,parsed,2#0,,BCE,2#0BCE,,Intermediate,missing-rsl
20BCF,parsed,2#0,,BCF,2#0BCF,,Intermediate,missing-rsl
20BCG,parsed,2#0,,BCG,2#0BCG,,Intermediate,missing-rsl
20BCH,parsed,2#0,,BCH,2#0BCH,,Intermediate,missing-rsl
20BCI,parsed,2#0,,BCI,2#0BCI,,Intermediate,missing-rsl
20BCJ,parsed,2#0,,BCJ,2#0BCJ,,Intermediate,missing-rsl
20BCK,parsed,2#0,,BCK,2#0BCK,,Intermediate,missing-rsl
20BCL,parsed,2#0,,BCL,2#0BCL,,Intermediate,missing-rsl
20BCM,parsed,2#0,,BCM,2#0BCM,,Intermediate,missing-rsl
20BCN,parsed,2#0,,BCN,2#0BCN,,Intermediate,missing-rsl
20BCO,parsed,2#0,,BCO,2#0BCO,,Intermediate,missing-rsl
20BCP,parsed,2#0,,BCP,2#0BCP,,Intermediate,missing-rsl
20BCQ,parsed,2#0,,BCQ,2#0BCQ,,Intermediate,missing-rsl
20BCR,parsed,2#0,,BCR,2#0BCR,,Intermediate,missing-rsl
20BCS,parsed,2#0,,BCS,2#0BCS,,Intermediate,missing-rsl
20BCT,parsed,2#0,,BCT,2#0BCT,,Intermediate,missing-rsl
20BCU,parsed,2#0,,BCU,2#0BCU,,Intermediate,missing-rsl
20BCV,parsed,2#0,,BCV,2#0BCV,,Intermediate,missing-rsl
20BCW,parsed,2#0,,BCW,2#0BCW,,Intermediate,missing-rsl
20BCX,parsed,2#0,,BCX,2#0BCX,,Intermediate,missing-rsl
20BCY,parsed,2#0,,BCY,2#0BCY,,Intermediate,missing-rsl
20BCZ,parsed,2#0,,BCZ,2#0BCZ,,Intermediate,missing-rsl
20BDA,parsed,2#0,,BDA,2#0BDA,,Intermediate,missing-rsl
20BDB,parsed,2#0,,BDB,2#0BDB,,Intermediate,missing-rsl
20BDC,parsed,2#0,,BDC,2#0BDC,,Intermediate,missing-rsl
20BDD,parsed,2#0,,BDD,2#0BDD,,Intermediate,missing-rsl
20BDE,parsed,2#0,,BDE,2#0BDE,,Intermediate,missing-rsl
20BDF,parsed,2#0,,BDF,2#0BDF,,Intermediate,missing-rsl
20BDG,parsed,2#0,,BDG,2#0BDG,,Intermediate,missing-rsl
20BDH,parsed,2#0,,BDH,2#0BDH,,Intermediate,missing-rsl
20BDI,parsed,2#0,,BDI,2#0BDI,,Intermediate,missing-rsl
20BDJ,parsed,2#0,,BDJ,2#0BDJ,,Intermediate,missing-rsl
20BDL,parsed,2#0,,BDL,2#0BDL,,Intermediate,missing-rsl
20BDM,parsed,2#0,,BDM,2#0BDM,,Intermediate,missing-rsl
20BDN,parsed,2#0,,BDN,2#0BDN,,Intermediate,missing-rsl
20BDO,parsed,2#0,,BDO,2#0BDO,,Intermediate,missing-rsl
20BDP,parsed,2#0,,BDP,2#0BDP,,Intermediate,missing-rsl
20BDQ,parsed,2#0,,BDQ,2#0BDQ,,Intermediate,missing-rsl
20BDR,parsed,2#0,,BDR,2#0BDR,,Intermediate,missing-rsl
20BDS,parsed,2#0,,BDS,2#0BDS,,Intermediate,missing-rsl
20BDT,parsed,2#0,,BDT,2#0BDT,,Intermediate,missing-rsl
20BDV,parsed,2#0,,BDV,2#0BDV,,Intermediate,missing-rsl
20BDW,parsed,2#0,,BDW,2#0BDW,,Intermediate,missing-rsl
20BDX,parsed,2#0,,BDX,2#0BDX,,Intermediate,missing-rsl
20BDY,parsed,2#0,,BDY,2#0BDY,,Intermediate,missing-rsl
20BDZ,parsed,2#0,,BDZ,2#0BDZ,,Intermediate,missing-rsl
20BEA,parsed,2#0,,BEA,2#0BEA,,Intermediate,missing-rsl
20BEB,parsed,2#0,,BEB,2#0BEB,,Intermediate,missing-rsl
20BEC,parsed,2#0,,BEC,2#0BEC,,Intermediate,missing-rsl
20BED,parsed,2#0,,BED,2#0BED,,Intermediate,missing-rsl
