Value,Status,Type,Call Sign MMSI: Created Date,Call Sign MMSI: Last Modified Date,Reserved to Date,Licence Cancel Date
G8JLH,Reserved,Call Sign - Amateur,2020-07-08,2020-07-08,2021-07-08,
M0IXR,Reserved,Call Sign - Amateur,2019-07-16,2019-07-18,2021-07-17,
M0HSL,Reserved,Call Sign - Amateur,2016-07-23,2019-07-22,2021-07-22,
M0TVC,Reserved,Call Sign - Amateur,2016-07-23,2019-07-29,2021-07-29,
G8EGA,Reserved,Call Sign - Amateur,2020-07-31,2020-07-31,2021-07-31,
M0OCG,Reserved,Call Sign - Amateur,2016-07-23,2019-08-16,2021-08-16,
M0IXD,Reserved,Call Sign - Amateur,2016-07-23,2019-08-23,2021-08-23,
G3WO,Reserved,Call Sign - Amateur,2019-07-22,2019-08-23,2021-08-23,
G8HZF,Reserved,Call Sign - Amateur,2020-09-03,2020-09-03,2021-09-03,
M0HJK,Reserved,Call Sign - Amateur,2016-08-12,2019-09-10,2021-09-10,
G1MJR,Reserved,Call Sign - Amateur,2020-09-10,2020-09-10,2021-09-10,
G1OFN,Reserved,Call Sign - Amateur,2020-09-11,2020-09-11,2021-09-11,
M0LNC,Reserved,Call Sign - Amateur,2019-07-16,2019-09-17,2021-09-17,
M0ABU,Reserved,Call Sign - Amateur,2016-08-07,2019-09-19,2021-09-19,
M0SGP,Reserved,Call Sign - Amateur,2016-07-23,2019-09-20,2021-09-20,
M0RWP,Reserved,Call Sign - Amateur,2019-04-09,2019-09-23,2021-09-23,
M0XBG,Reserved,Call Sign - Amateur,2019-08-08,2019-09-26,2021-09-26,
M0TPP,Reserved,Call Sign - Amateur,2020-10-06,2020-10-06,2021-10-06,
G0WOW,Reserved,Call Sign - Amateur,2016-08-12,2020-10-15,2021-10-15,
G5NIC,Reserved,Call Sign - Amateur,2020-10-15,2020-10-15,2021-10-15,
G7EGT,Reserved,Call Sign - Amateur,2020-10-20,2020-10-20,2021-10-20,
G5DXG,Reserved,Call Sign - Amateur,2019-03-06,2019-11-07,2021-11-07,
M0WIM,Reserved,Call Sign - Amateur,2019-11-07,2019-11-20,2021-11-20,
G4HAA,Reserved,Call Sign - Amateur,2016-07-23,2019-12-11,2021-12-11,
M0IZC,Reserved,Call Sign - Amateur,2019-09-24,2019-12-20,2021-12-20,
M0OXE,Reserved,Call Sign - Amateur,2016-07-23,2020-01-22,2022-01-22,
M0JDJ,Reserved,Call Sign - Amateur,2020-01-19,2020-01-29,2022-01-29,
G7WOS,Reserved,Call Sign - Amateur,2016-07-23,2020-02-15,2022-02-15,
M0SML,Reserved,Call Sign - Amateur,2017-03-01,2020-02-18,2022-02-18,
G4LNP,Reserved,Call Sign - Amateur,2016-07-23,2020-04-10,2022-04-10,
M0OCQ,Reserved,Call Sign - Amateur,2020-04-19,2020-04-21,2022-04-21,
M0WWT,Reserved,Call Sign - Amateur,2020-04-19,2020-04-21,2022-04-21,
M0XCQ,Reserved,Call Sign - Amateur,2020-04-19,2020-04-21,2022-04-21,
M0HHT,Reserved,Call Sign - Amateur,2016-07-23,2020-04-30,2022-04-30,
M0KCQ,Reserved,Call Sign - Amateur,2020-04-28,2020-05-03,2022-05-03,
M0KKQ,Reserved,Call Sign - Amateur,2020-04-28,2020-05-03,2022-05-03,
G0WXW,Reserved,Call Sign - Amateur,2016-07-23,2020-05-16,2022-05-16,
M1NSC,Reserved,Call Sign - Amateur,2016-07-23,2020-06-02,2022-06-02,
G0BAR,Reserved,Call Sign - Amateur,2016-07-23,2020-06-09,2022-06-09,
M1EVP,Reserved,Call Sign - Amateur,2016-07-23,2020-06-11,2022-06-11,
M0JFU,Reserved,Call Sign - Amateur,2020-06-21,2020-06-24,2022-06-22,
M0YKQ,Reserved,Call Sign - Amateur,2020-06-21,2020-06-22,2022-06-22,
M0XVV,Reserved,Call Sign - Amateur,2020-06-23,2020-06-24,2022-06-24,
M0XWW,Reserved,Call Sign - Amateur,2020-06-23,2020-06-24,2022-06-24,
M0YWW,Reserved,Call Sign - Amateur,2018-12-06,2020-06-24,2022-06-24,
G4RMS,Reserved,Call Sign - Amateur,2016-07-23,2020-06-25,2022-06-25,
G0LRG,Reserved,Call Sign - Amateur,2016-07-23,2020-06-25,2022-06-25,
M0MCQ,Reserved,Call Sign - Amateur,2020-06-23,2020-07-03,2022-07-03,
M0XXC,Reserved,Call Sign - Amateur,2020-06-23,2020-07-12,2022-07-03,
M0YYT,Reserved,Call Sign - Amateur,2020-06-23,2020-07-03,2022-07-03,
M0CDX,Reserved,Call Sign - Amateur,2016-07-23,2020-07-05,2022-07-05,
G6UHF,Reserved,Call Sign - Amateur,2020-05-12,2020-07-05,2022-07-05,
G6SSB,Reserved,Call Sign - Amateur,2020-06-02,2020-07-05,2022-07-05,
G6ICQ,Reserved,Call Sign - Amateur,2020-06-19,2020-07-05,2022-07-05,
G1IDX,Reserved,Call Sign - Amateur,2020-07-01,2020-07-05,2022-07-05,
G8JTD,Reserved,Call Sign - Amateur,2016-07-23,2020-07-08,2022-07-08,
M0XXD,Reserved,Call Sign - Amateur,2020-07-12,2020-07-17,2022-07-17,
G4PEG,Reserved,Call Sign - Amateur,2020-06-10,2020-08-24,2022-08-24,
M0IDO,Reserved,Call Sign - Amateur,2016-11-21,2020-09-09,2022-09-09,
M0JHH,Reserved,Call Sign - Amateur,2020-09-04,2020-09-16,2022-09-09,
M0PSG,Reserved,Call Sign - Amateur,2016-07-23,2020-09-23,2022-09-23,
M0JIA,Reserved,Call Sign - Amateur,2020-10-06,2020-10-07,2022-10-07,
G4ICQ,Reserved,Call Sign - Amateur,2020-07-02,2020-10-12,2022-10-12,
G6IDX,Reserved,Call Sign - Amateur,2020-07-06,2020-10-12,2022-10-12,
G0ATC,Reserved,Call Sign - Amateur,2016-07-26,2020-10-20,2022-10-20,
