callsign,parse_status,prefix_series,rsl,suffix,home_callsign,implied_class,flags
M7AFE,parsed,M7,,AFE,,Foundation,
M7AFF,parsed,M7,,AFF,,Foundation,
M7AFG,parsed,M7,,AFG,,Foundation,
M7AFJ,parsed,M7,,AFJ,,Foundation,
M7AFK,parsed,M7,,AFK,,Foundation,
M7AFL,parsed,M7,,AFL,,Foundation,
M7AFM,parsed,M7,,AFM,,Foundation,
M7AFN,parsed,M7,,AFN,,Foundation,
M7AFO,parsed,M7,,AFO,,Foundation,
M7AFP,parsed,M7,,AFP,,Foundation,
M7AFQ,parsed,M7,,AFQ,,Foundation,
M7AFR,parsed,M7,,AFR,,Foundation,
M7AFS,parsed,M7,,AFS,,Foundation,
M7AFT,parsed,M7,,AFT,,Foundation,
M7AFU,parsed,M7,,AFU,,Foundation,
M7AFV,parsed,M7,,AFV,,Foundation,
M7AFW,parsed,M7,,AFW,,Foundation,
M7AFX,parsed,M7,,AFX,,Foundation,
M7AII,parsed,M7,,AII,,Foundation,
M7AJC,parsed,M7,,AJC,,Foundation,
M7AJH,parsed,M7,,AJH,,Foundation,
M7AJM,parsed,M7,,AJM,,Foundation,
M7ALB,parsed,M7,,ALB,,Foundation,
M7ALC,parsed,M7,,ALC,,Foundation,
M7ALS,parsed,M7,,ALS,,Foundation,
M7AMA,parsed,M7,,AMA,,Foundation,
M7AMR,parsed,M7,,AMR,,Foundation,
M7AMS,parsed,M7,,AMS,,Foundation,
M7ANE,parsed,M7,,ANE,,Foundation,
M7APH,parsed,M7,,APH,,Foundation,
M7ARA,parsed,M7,,ARA,,Foundation,
M7ATM,parsed,M7,,ATM,,Foundation,
M7AVK,parsed,M7,,AVK,,Foundation,
M7AWE,parsed,M7,,AWE,,Foundation,
M7AYA,parsed,M7,,AYA,,Foundation,
M7BAD,parsed,M7,,BAD,,Foundation,
M7BAF,parsed,M7,,BAF,,Foundation,
M7BAR,parsed,M7,,BAR,,Foundation,
M7BAZ,parsed,M7,,BAZ,,Foundation,
M7BBC,parsed,M7,,BBC,,Foundation,
M7BCB,parsed,M7,,BCB,,Foundation,
M7BCD,parsed,M7,,BCD,,Foundation,
M7BDH,parsed,M7,,BDH,,Foundation,
M7BEE,parsed,M7,,BEE,,Foundation,
M7BGD,parsed,M7,,BGD,,Foundation,
M7BMH,parsed,M7,,BMH,,Foundation,
M7BMS,parsed,M7,,BMS,,Foundation,
M7BPD,parsed,M7,,BPD,,Foundation,
M7BSN,parsed,M7,,BSN,,Foundation,
M7BSR,parsed,M7,,BSR,,Foundation,
M7BSV,parsed,M7,,BSV,,Foundation,
M7BTS,parsed,M7,,BTS,,Foundation,
M7BTW,parsed,M7,,BTW,,Foundation,
M7BUD,parsed,M7,,BUD,,Foundation,
M7BXT,parsed,M7,,BXT,,Foundation,
M7CAI,parsed,M7,,CAI,,Foundation,
M7CAS,parsed,M7,,CAS,,Foundation,
M7CBS,parsed,M7,,CBS,,Foundation,
M7CCM,parsed,M7,,CCM,,Foundation,
M7CDR,parsed,M7,,CDR,,Foundation,
M7CES,parsed,M7,,CES,,Foundation,
M7CEX,parsed,M7,,CEX,,Foundation,
M7CFC,parsed,M7,,CFC,,Foundation,
M7CHR,parsed,M7,,CHR,,Foundation,
M7CIF,parsed,M7,,CIF,,Foundation,
M7CIG,parsed,M7,,CIG,,Foundation,
M7CIH,parsed,M7,,CIH,,Foundation,
M7CII,parsed,M7,,CII,,Foundation,
M7CIJ,parsed,M7,,CIJ,,Foundation,
M7CIK,parsed,M7,,CIK,,Foundation,
M7CIL,parsed,M7,,CIL,,Foundation,
M7CIM,parsed,M7,,CIM,,Foundation,
M7CIN,parsed,M7,,CIN,,Foundation,
M7CIO,parsed,M7,,CIO,,Foundation,
M7CIP,parsed,M7,,CIP,,Foundation,
M7CIQ,parsed,M7,,CIQ,,Foundation,
M7CIS,parsed,M7,,CIS,,Foundation,
