callsign,status,licence_class
20BOO,Allocated,
20BOP,Reserved,
20BOQ,Allocated,
20BOR,Allocated,
20BOS,Allocated,
20BOT,Allocated,
20BOU,Allocated,
20BOV,Allocated,
20BOW,Allocated,
20BOX,Allocated,
20BOY,Allocated,
20BOZ,Allocated,
20BPA,Allocated,
20BPB,Allocated,
20BPC,Allocated,
20BPD,Allocated,
20BPE,Allocated,
20BPF,Allocated,
20BPG,Allocated,
20BPH,Reserved,
20BPI,Allocated,
20BPJ,Allocated,
20BPK,Reserved,
20BPL,Allocated,
20BPM,Allocated,
20BPN,Allocated,
20BPO,Allocated,
20BPP,Allocated,
20BPQ,Allocated,
20BPR,Reserved,
20BPS,Allocated,
20BPT,Allocated,
20BPU,Allocated,
20BPV,Allocated,
20BPW,Allocated,
20BPX,Allocated,
20BPY,Allocated,
20BPZ,Allocated,
20BQA,Reserved,
20BQB,Allocated,
20BQC,Allocated,
20BQD,Reserved,
20BQE,Allocated,
20BQF,Allocated,
20BQG,Allocated,
20BQH,Allocated,
20BQI,Reserved,
20BQJ,Allocated,
20BQK,Allocated,
20BQL,Allocated,
20BQM,Allocated,
20BQN,Allocated,
20BQO,Allocated,
20BQP,Allocated,
20BQQ,Allocated,
20BQR,Allocated,
20BQS,Allocated,
20BQT,Reserved,
20BQU,Allocated,
20BQV,Allocated,
20BQW,Allocated,
20BQX,Allocated,
20BQY,Allocated,
20BQZ,Allocated,
20BRA,Allocated,
20BRB,Reserved,
20BRC,Allocated,
20BRD,Allocated,
20BRE,Reserved,
20BRF,Allocated,
20BRG,Allocated,
20BRH,Allocated,
20BRI,Allocated,
20BRJ,Allocated,
20BRK,Allocated,
20BRL,Allocated,
20BRM,Reserved,
20BRN,Reserved,
20BRO,Allocated,
20BRP,Allocated,
20BRQ,Allocated,
20BRR,Reserved,
20BRS,Allocated,
20BRT,Allocated,
20BRU,Allocated,
20BRV,Allocated,
20BRW,Reserved,
20BRX,Reserved,
20BRY,Allocated,
20BRZ,Reserved,
20BSA,Allocated,
20BSB,Allocated,
20BSC,Reserved,
20BSD,Allocated,
20BSE,Allocated,
20BSF,Allocated,
20BSG,Allocated,
20BSH,Allocated,
20BSI,Allocated,
20BSJ,Allocated,
20BSK,Allocated,
20BSL,Allocated,
20BSM,Allocated,
20BSN,Allocated,
20BSO,Reserved,
20BSP,Reserved,
20BSQ,Allocated,
20BSR,Allocated,
20BSS,Allocated,
20BST,Allocated,
20BSU,Allocated,
20BSV,Allocated,
20BSW,Allocated,
20BSX,Allocated,
20BSY,Reserved,
20BSZ,Allocated,
20BTA,Allocated,
20BTB,Allocated,
20BTC,Reserved,
20BTD,Allocated,
20BTE,Allocated,
20BTF,Allocated,
20BTG,Reserved,
20BTH,Allocated,
20BTI,Reserved,
20BTJ,Reserved,
20BTK,Allocated,
20BTL,Allocated,
20BTM,Reserved,
20BTN,Reserved,
20BTO,Allocated,
20BTP,Allocated,
20BTQ,Allocated,
20BTR,Allocated,
20BTS,Allocated,
20BTT,Allocated,
20BTU,Allocated,
20BTV,Allocated,
20BTW,Allocated,
20BTX,Allocated,
20BTY,Allocated,
20BTZ,Allocated,
20BUA,Allocated,
20BUB,Allocated,
20BUC,Reserved,
20BUD,Allocated,
20BUE,Allocated,
20BUF,Allocated,
20BUG,Allocated,
20BUH,Reserved,
20BUI,Allocated,
20BUJ,Allocated,
20BUK,Allocated,
20BUL,Allocated,
20BUN,Allocated,
20BUO,Allocated,
20BUP,Allocated,
20BUQ,Allocated,
20BUR,Allocated,
20BUS,Allocated,
20BUT,Allocated,
20BUU,Reserved,
20BUV,Allocated,
20BUW,Allocated,
20BUX,Allocated,
20BUY,Allocated,
20BUZ,Allocated,
20BVA,Allocated,
20BVB,Allocated,
20BVC,Allocated,
20BVD,Allocated,
